source_en,reference_fr,similarity,topic
"Seattle: Institute for Health Metrics and Evaluation; 2024 ( https://vizhub.healthdata.org/gbd-results/ , accessed 13 August 2025). (2) Yung NCL, Wong CSM, Chan JKN, Chen EYH, Chang WC.","Seattle: Institute for Health Metrics and Evaluation; 2024 ( https://vizhub.healthdata.org/gbd-results/ , consulté le 13 août 2025). (2) Yung NCL, Wong CSM, Chan JKN, Chen EYH, Chang WC.",0.996,Mental disorders / Troubles mentaux
Excess mortality and life-years lost in people with schizophrenia and other non-affective psychoses: an 11-year population-based cohort study.,Excess mortality and life-years lost in people with schizophrenia and other non-affective psychoses: an 11-year population-based cohort study.,1.0,Mental disorders / Troubles mentaux
Schizophr Bull. 2021;47(2):474–84 (https://doi.org/10.1093/schbul/sbaa137). (3) Mental health atlas 2020.,Schizophr Bull. 2021;47(2):474–84 ( https://doi.org/10.1093/schbul/sbaa137 ). (3) Mental health atlas 2020.,1.0,Mental disorders / Troubles mentaux
Geneva: World Health Organization; 2021 (https://iris.who.int/handle/10665/345946).,"Genève, Organisation mondiale de la Santé, 2021 (https://iris.who.int/handle/10665/345946).",0.939,Mental disorders / Troubles mentaux
"Licence: CC BY-NC-SA 3.0 IGO. (4) Moitra M, Santomauro D, Collins PY, Vos T, Whiteford H, Saxena S, et al.","Licence : CC BY-NC-SA 3.0 IGO.(4) Moitra M, Santomauro D, Collins PY, Vos T, Whiteford H, Saxena S, et al.",1.0,Mental disorders / Troubles mentaux
The global gap in treatment coverage for major depressive disorder in 84 countries from 2000–2019: a systematic review and Bayesian meta-regression analysis.,The global gap in treatment coverage for major depressive disorder in 84 countries from 2000–2019: a systematic review and Bayesian meta-regression analysis.,1.0,Mental disorders / Troubles mentaux
PLoS Med. 2022;19(2):e1003901. doi:10.1371/journal.pmed.1003901 .,PLoS Med. 2022;19(2):e1003901. doi:10.1371/journal.pmed.1003901 .,1.0,Mental disorders / Troubles mentaux
"Schizophrenia is characterised by significant impairments in the way reality is perceived and changes in behaviour related to: People with schizophrenia often also experience persistent difficulties with their cognitive or thinking skills, such as memory, attention, and problem-solving.","La schizophrénie se caractérise par des troubles importants de la perception de la réalité et par des altérations du comportement : Les schizophrènes éprouvent souvent des difficultés cognitives persistantes (par exemple, au niveau de la mémoire, de l’attention et de la capacité à résoudre des problèmes).",0.872,Schizophrenia / Schizophrenie
At least one third of people with schizophrenia experiences complete remission of symptoms (1).,On observe une rémission complète des symptômes chez au moins un tiers des personnes atteintes de schizophrénie (1).,0.878,Schizophrenia / Schizophrenie
"Some people with schizophrenia experience worsening and remission of symptoms periodically throughout their lives, others a gradual worsening of symptoms over time.","Chez certaines autres, on constate une aggravation et une rémission périodiques des symptômes tout au long de la vie tandis que, chez d’autres encore, les symptômes s’aggravent progressivement au fil du temps.",0.794,Schizophrenia / Schizophrenie
Schizophrenia affects approximately 23 million people or 1 in 345 people (0.29%) worldwide.,"La schizophrénie touche environ 23 millions de personnes, soit 1 sur 345 (0,29 %), dans le monde.",0.948,Schizophrenia / Schizophrenie
The rate is 1 in 233 people (0.43%) among adults (2).,"Le taux est de 1 adulte sur 233 (0,43 %) (2).",0.942,Schizophrenia / Schizophrenie
It is not as common as many other mental disorders.,La schizophrénie n’est pas aussi courante que beaucoup d’autres troubles mentaux.,0.791,Schizophrenia / Schizophrenie
"Onset is most often during late adolescence and the twenties, and onset tends to happen earlier among men than among women.","Elle débute le plus souvent à la fin de l’adolescence ou entre 20 et 30 ans, et elle survient généralement plus tôt chez les hommes que chez les femmes.",0.802,Schizophrenia / Schizophrenie
"Schizophrenia is frequently associated with significant distress and impairment in personal, family, social, educational, occupational, and other important areas of life.","Elle est souvent associée à une incapacité et à un stress importants dans les sphères personnelle, familiale, sociale, éducative et professionnelle et dans d’autres domaines importants de la vie.",0.818,Schizophrenia / Schizophrenie
People with schizophrenia die nine years earlier than the general population (3).,Les schizophrènes décèdent neuf ans plus tôt que la population générale (3).,0.9,Schizophrenia / Schizophrenie
"This is often due to physical illnesses, such as cardiovascular, metabolic, and infectious diseases.","Les décès sont souvent dus à des maladies somatiques, cardiovasculaires, métaboliques ou infectieuses, notamment.",0.755,Schizophrenia / Schizophrenie
People with schizophrenia often experience human rights violations both inside mental health institutions and in community settings.,"Les personnes atteintes de schizophrénie sont souvent victimes de violations des droits humains, dans les établissements psychiatriques comme en dehors.",0.842,Schizophrenia / Schizophrenie
"Stigma against people with this condition is intense and widespread, causing social exclusion, and impacting their relationships with others, including family and friends.","Elles sont très souvent victimes d’une forte stigmatisation, qui entraîne une exclusion sociale et affecte leurs relations avec leur entourage, y compris la famille et les amis.",0.781,Schizophrenia / Schizophrenie
"This contributes to discrimination, which in turn can limit access to general health care, education, housing, and employment.","Il s’ensuit une discrimination, qui à son tour peut limiter l’accès aux soins de santé généraux, à l’éducation, au logement et à l’emploi.",0.902,Schizophrenia / Schizophrenie
"During humanitarian and public health emergencies, extreme stress and fear, breakdown of social supports, isolation and disruption of health-care services and supply of medication can occur.","Les situations d’urgence humanitaire et de santé publique peuvent entraîner un stress et une peur extrêmes, l’effondrement des structures de soutien social, un isolement ainsi que la perturbation des services de santé et de l’approvisionnement en médicaments.",0.835,Schizophrenia / Schizophrenie
"These changes can have an impact on the lives of people with schizophrenia, such as exacerbation of existing symptoms.","Ces changements peuvent avoir un impact sur la vie des schizophrènes, par exemple exacerber leurs symptômes.",0.82,Schizophrenia / Schizophrenie
"During emergencies, people with schizophrenia are more vulnerable than others to various human rights violations, including neglect, abandonment, homelessness, abuse and exclusion.","Dans les situations d’urgence, les personnes atteintes de schizophrénie sont plus vulnérables que d’autres face aux violations des droits humains, notamment la négligence, l’abandon, l’absence de logement, la maltraitance et l’exclusion.",0.831,Schizophrenia / Schizophrenie
Research has not identified one single cause of schizophrenia.,La recherche n’a pas mis en évidence de cause unique de la schizophrénie.,0.908,Schizophrenia / Schizophrenie
It is thought that an interaction between genes and a range of environmental factors may cause schizophrenia.,On pense qu’elle peut avoir pour origine une interaction entre des gènes et un certain nombre de facteurs environnementaux.,0.757,Schizophrenia / Schizophrenie
Psychosocial factors may also affect the onset and course of schizophrenia.,Des facteurs psychosociaux peuvent également influer sur la survenue et l’évolution de la schizophrénie.,0.846,Schizophrenia / Schizophrenie
Heavy use of cannabis is associated with an elevated risk of the disorder.,Une forte consommation de cannabis est associée à un risque élevé de schizophrénie.,0.802,Schizophrenia / Schizophrenie
"Currently, the vast majority of people with schizophrenia around the world are not receiving mental health care.","À l’heure actuelle, l’immense majorité des personnes atteintes de schizophrénie dans le monde ne bénéficient pas de soins de santé mentale.",0.901,Schizophrenia / Schizophrenie
Approximately 50% of people in mental hospitals have a schizophrenia diagnosis (4).,La schizophrénie est diagnostiquée chez 50 % environ des personnes hospitalisées en psychiatrie (4).,0.881,Schizophrenia / Schizophrenie
Only 29% of people with psychosis receive specialist mental health care (5).,Seulement 29 % des personnes atteintes de psychoses bénéficient de soins de santé mentale spécialisés (5).,0.951,Schizophrenia / Schizophrenie
Most resources for mental health services are inefficiently spent on care within mental hospitals.,La plupart des ressources allouées aux services de santé mentale sont dépensées de manière inefficace pour les soins dans les hôpitaux psychiatriques.,0.88,Schizophrenia / Schizophrenie
"There is clear evidence that mental hospitals are not effective in providing the care that people with mental health conditions need and, regularly, violate the basic human rights of persons with schizophrenia.",Il apparaît clairement que les hôpitaux psychiatriques ne permettent pas de prodiguer aux sujets atteints de troubles mentaux les soins dont ils ont besoin et que les droits humains des schizophrènes y sont régulièrement bafoués.,0.836,Schizophrenia / Schizophrenie
Efforts to transfer care from mental health institutions to the community need to be expanded and accelerated.,Les efforts visant à dispenser les soins en dehors des établissements de santé mentale doivent être élargis et accélérés.,0.775,Schizophrenia / Schizophrenie
Such efforts start with the development of a range of quality community-based mental health services.,"À cet égard, il faut d’abord mettre au point une gamme de services de santé mentale communautaires de qualité.",0.729,Schizophrenia / Schizophrenie
"Options for community-based mental health care include integration in primary health and general hospital care, community mental health centres, day centres, supported housing, and outreach services for home-based support.","Plusieurs modalités de soins de santé mentale communautaires sont possibles : l’intégration dans les soins de santé primaires et les soins hospitaliers généraux, les centres de santé mentale communautaires, les centres de jour, les logements dotés de services de soutien et les services de proximité pour le soutien à domicile.",0.869,Schizophrenia / Schizophrenie
"The engagement of the person with schizophrenia, family members and the wider community in providing support is important.",Il est important que la personne schizophrène joue un rôle actif et que les membres de la famille et la communauté au sens large apportent leur soutien.,0.811,Schizophrenia / Schizophrenie
"A range of effective care options for people with schizophrenia exist, and these include medication, psychoeducation, family interventions, cognitive-behavioural therapy and psychosocial rehabilitation (e.g. life skills training).","Il existe plusieurs options thérapeutiques efficaces pour les personnes atteintes de schizophrénie : les médicaments, la psychoéducation, les interventions familiales, la thérapie cognitivo-comportementale et la réadaptation psychosociale (par exemple, l’acquisition de compétences psychosociales).",0.883,Schizophrenia / Schizophrenie
"Facilitated assisted living, supported housing and supported employment are essential care options that should be available for people with schizophrenia.","L’aide à la vie quotidienne, le logement avec services de soutien et l’emploi aidé sont des possibilités essentielles qui devraient être proposées aux schizophrènes.",0.856,Schizophrenia / Schizophrenie
A recovery-oriented approach – giving people agency in treatment decisions – is essential for people with schizophrenia and for their families and/or caregivers as well.,Une approche axée sur le rétablissement – visant à donner aux personnes la possibilité de prendre des décisions au sujet de leur traitement – est essentielle pour les personnes atteintes de schizophrénie et pour les familles et/ou les proches aidants.,0.917,Schizophrenia / Schizophrenie
WHO’s Comprehensive Mental Health Action Plan 2013-2030 highlights the steps required to provide appropriate services for people with mental disorders including schizophrenia.,"Le Plan d’action global pour la santé mentale 2013-2030 indique quelles sont les étapes nécessaires pour fournir des services appropriés aux personnes atteintes de troubles mentaux, dont la schizophrénie.",0.913,Schizophrenia / Schizophrenie
The WHO Special Initiative for Mental Health aims to further progress towards objectives of the Comprehensive Mental Health Action Plan 2013-2030 by ensuring 100 million more people have access to quality and affordable care for mental health conditions.,"L’Initiative spéciale de l’OMS pour la santé mentale vise à progresser plus avant dans la réalisation des objectifs du Plan d’action global pour la santé mentale 2013-2030, le but étant de garantir que 100 millions de personnes supplémentaires aient accès à des soins abordables et de qualité en matière de santé mentale.",0.913,Schizophrenia / Schizophrenie
"WHO's Mental Health Gap Action Programme (mhGAP) uses evidence-based technical guidance, tools and training packages to expand service in countries, especially in resource-poor settings.","Le Programme d’action Combler les lacunes en santé mentale (mhGAP) se sert d’orientations, d’outils et de matériels de formation fondés sur des données factuelles pour développer les services dans les pays, en particulier ceux dont les ressources sont limitées.",0.828,Schizophrenia / Schizophrenie
"It focuses on a prioritized set of conditions, including psychosis, directing capacity building towards non-specialized health-care providers in an integrated approach that promotes mental health at all levels of care.","Il est axé sur un ensemble prioritaire d’affections, dont les psychoses, et oriente le renforcement des capacités vers les prestataires de soins non spécialisés dans le cadre d’une approche intégrée en faveur de la santé mentale à tous les niveaux des soins.",0.849,Schizophrenia / Schizophrenie
Currently mhGAP is being implemented in more than 100 WHO Member States.,"Actuellement, le mhGAP est mis en œuvre dans plus de 100 États Membres de l’OMS.",0.957,Schizophrenia / Schizophrenie
The WHO QualityRights Project involves improving the quality of care and human rights conditions in mental health and social care facilities and to empower organizations to advocate for the health of people with mental health conditions and psychosocial disabilities.,"Le projet QualityRights de l’OMS suppose d’améliorer la qualité des soins et le respect des droits humains dans les établissements s’occupant de la santé mentale et de l’aide sociale, et de donner des moyens d’agir aux organisations pour défendre la santé des personnes atteintes de maladies mentales et de handicaps psychosociaux.",0.865,Schizophrenia / Schizophrenie
"The WHO guidance on community mental health services and person-centred and rights-based approaches provides information and support to all stakeholders who wish to develop or transform their mental health system and services to align with international human rights standards including the UN Convention on the Rights of Persons with Disabilities. (1) Harrison G, Hopper K, Craig T, Laska E, Siegel C, Wanderling J.","Les orientations de l’OMS sur les services de santé mentale communautaires et les approches centrées sur la personne et fondées sur les droits fournissent des informations et un soutien à toutes les parties prenantes qui souhaitent développer ou transformer leur système et leurs services de santé mentale pour qu’ils soient conformes aux normes internationales en matière de droits humains, y compris à la Convention des Nations Unies relative aux droits des personnes handicapées. (1) Harrison G, Hopper K, Craig T, Laska E, Siegel C, Wanderling J.",0.894,Schizophrenia / Schizophrenie
Recovery from psychotic illness: a 15- and 25-year international follow-up study.,Recovery from psychotic illness: a 15- and 25-year international follow-up study.,1.0,Schizophrenia / Schizophrenie
Br J Psychiatry 2001;178:506-17. (2) Institute of health Metrics and Evaluation (IHME).,Br J Psychiatry 2001;178:506-17. (2) 2021 Global Burden of Disease (GBD) [base de données en ligne].,0.723,Schizophrenia / Schizophrenie
Mental health systems in selected low- and middle-income countries: a WHO-AIMS cross-national analysis.,Mental health systems in selected low- and middle-income countries: a WHO-AIMS cross-national analysis.,1.0,Schizophrenia / Schizophrenie
"In 2021, an estimated 37 million people (or 0.5% of the global population), including approximately 34 million adults, were living with bipolar disorder (1) .","En 2021, on estimait que 37 millions de personnes (soit 0,5 % de la population mondiale), dont environ 34 millions d’adultes, étaient atteintes d’un trouble bipolaire (1) .",0.934,Bipolar disorder / Trouble bipolaire
"The condition is primarily observed among working-age people, but also in youth.","Ce trouble touche principalement les personnes en âge de travailler, mais aussi les plus jeunes.",0.81,Bipolar disorder / Trouble bipolaire
"While the prevalence of bipolar disorder among men and women is approximately equal, available data indicate that women are more often diagnosed.","D’après les données disponibles, bien que sa prévalence soit quasiment la même entre les hommes et les femmes, il est plus souvent diagnostiqué chez les femmes.",0.805,Bipolar disorder / Trouble bipolaire
"Worldwide, the treatment coverage for people with bipolar disorder is low.","À l’échelle mondiale, la couverture du traitement du trouble bipolaire est faible.",0.856,Bipolar disorder / Trouble bipolaire
Both men and women are often misdiagnosed.,"Les cas sont souvent mal diagnostiqués, que ce soit chez les hommes ou chez les femmes.",0.763,Bipolar disorder / Trouble bipolaire
"Many lack access to services and recommended interventions, especially in low- and middle-income countries (LMICs).","De nombreuses personnes atteintes d’un trouble bipolaire n’ont pas accès aux services et aux interventions recommandées, en particulier dans les pays à revenu faible ou intermédiaire.",0.752,Bipolar disorder / Trouble bipolaire
"Stigma and discrimination against people with bipolar disorder are widespread, both in communities and health services.","La stigmatisation et la discrimination à l’égard des personnes atteintes d’un trouble bipolaire sont répandues, tant dans les communautés que dans les services de santé, ce qui peut nuire à l’accès aux soins de santé.",0.799,Bipolar disorder / Trouble bipolaire
"It also fuels social exclusion and can limit opportunities for education, employment and housing.","En outre, ces phénomènes favorisent l’exclusion sociale et peuvent limiter les possibilités en matière d’éducation, d’emploi et de logement.",0.851,Bipolar disorder / Trouble bipolaire
Bipolar disorder is one of the leading causes of disability globally as it can affect many areas of life.,"Le trouble bipolaire est l’une des principales causes de handicap dans le monde, car il affecte de nombreux aspects de la vie.",0.88,Bipolar disorder / Trouble bipolaire
"People with bipolar disorder may experience strained relationships, problems at school or work, and difficulties in carrying out daily activities.","Les personnes atteintes d’un trouble bipolaire peuvent avoir des problèmes relationnels, des problèmes en milieu scolaire ou au travail, et des difficultés à effectuer des tâches quotidiennes.",0.919,Bipolar disorder / Trouble bipolaire
Having bipolar disorder also increases the risk of suicide and of developing anxiety and substance use disorders.,"Le trouble bipolaire augmente également le risque de suicide, ainsi que le risque d’anxiété et de troubles liés à l’usage de substances.",0.857,Bipolar disorder / Trouble bipolaire
"People with bipolar disorder are more likely to smoke, use alcohol, have a physical health condition (e.g. cardiovascular or respiratory disease), and experience difficulties in accessing health care.","Les personnes atteintes d’un trouble bipolaire sont plus susceptibles de fumer, de consommer de l’alcool, de souffrir d’un problème de santé physique (par exemple, une maladie cardiovasculaire ou respiratoire) et d’avoir des difficultés à accéder aux soins de santé.",0.929,Bipolar disorder / Trouble bipolaire
"On average, people with bipolar disorder die on average 13 years earlier than the general population (2) .","En moyenne, les personnes atteintes d’un trouble bipolaire meurent 13 ans plus tôt que la population générale (2) .",0.937,Bipolar disorder / Trouble bipolaire
Bipolar disorder is a mental health condition characterized by mood swings from one extreme to another.,Le trouble bipolaire est un problème de santé mentale qui se caractérise par des changements d’humeur extrêmes.,0.785,Bipolar disorder / Trouble bipolaire
"During a manic episode, a person experiences an extremely high mood with lots of energy (feeling very happy, excited, overactive).","Une personne en phase maniaque est anormalement de bonne humeur et en forme (elle se sent exaltée, excitée, hyperactive).",0.81,Bipolar disorder / Trouble bipolaire
"They may have a sense of euphoria, sudden shifts in mood or an excess of emotion (uncontrollable laughing or feeling much more irritable, agitated or restless than usual).","Elle peut ressentir un sentiment d’euphorie, avoir des sautes d’humeur ou être submergée par ses émotions (rire de façon incontrôlée ou se sentir beaucoup plus irritable ou agitée que d’habitude).",0.874,Bipolar disorder / Trouble bipolaire
"In manic episodes, the changes in mood and activities are accompanied by other characteristic symptoms, which may include: On the contrary, during a depressive episode, a person experiences a depressed mood (feeling sad, irritable, empty).","Pendant les épisodes maniaques, les changements d’humeur et de niveau d’activité s’accompagnent d’autres symptômes caractéristiques, notamment : En revanche, lors d’un épisode dépressif, la personne se sent triste, irritable, vide).",0.862,Bipolar disorder / Trouble bipolaire
They may feel a loss of interest or pleasure in activities that they had previously enjoyed.,Elle ressent parfois une perte d’intérêt ou de plaisir pour des activités qu’elle appréciait auparavant.,0.799,Bipolar disorder / Trouble bipolaire
"Other symptoms are also present, which may include: A depressive episode is different from mood fluctuations commonly experienced by most people, in that the symptoms last most of the day, nearly every day, for at least two weeks.","D’autres symptômes sont également présents, notamment : Il faut distinguer l’épisode dépressif des fluctuations de l’humeur que la plupart d’entre nous connaissent : les symptômes sont présents la majeure partie de la journée, presque tous les jours, pendant au moins deux semaines.",0.879,Bipolar disorder / Trouble bipolaire
"Both manic and depressive episodes can cause significant difficulties in all aspects of life, including at home, work and school.","Les épisodes maniaques et dépressifs peuvent entraîner des difficultés majeures dans la vie en général, y compris à la maison, au travail et à l’école.",0.863,Bipolar disorder / Trouble bipolaire
They may require specialized care to prevent the person from doing harm to themselves or others.,Ils peuvent nécessiter des soins spécialisés visant à empêcher que la personne se fasse du mal ou fasse du mal à autrui.,0.901,Bipolar disorder / Trouble bipolaire
Some people with bipolar disorder may experience what are called hypomanic episodes.,Certaines personnes atteintes d’un trouble bipolaire connaissent parfois des épisodes « hypomaniaques ».,0.832,Bipolar disorder / Trouble bipolaire
"Hypomanic episodes involve similar symptoms to manic episodes, but the symptoms are less intense and do not typically disrupt the person’s ability to function to the same extent.","Les épisodes hypomaniaques se caractérisent par des symptômes similaires à ceux des épisodes maniaques, mais ils sont moins intenses et ne perturbent généralement pas autant le fonctionnement.",0.882,Bipolar disorder / Trouble bipolaire
"There are two main types of bipolar disorder, depending on patterns of manic or hypomanic and depressive episodes.","Il existe deux principaux types de trouble bipolaire, en fonction des épisodes maniaques ou hypomaniaques et dépressifs vécus.",0.907,Bipolar disorder / Trouble bipolaire
The exact cause of bipolar disorder is unknown.,On ne connaît pas la cause exacte du trouble bipolaire.,0.897,Bipolar disorder / Trouble bipolaire
"Several factors – including biological (e.g. genetic), psychological, social and structural factors – may contribute to its onset, trajectory and outcomes.","Plusieurs facteurs – notamment des facteurs biologiques (génétiques, par exemple), psychologiques, sociaux et structurels – peuvent favoriser son apparition et influer sur son évolution et son issue.",0.942,Bipolar disorder / Trouble bipolaire
Adverse circumstances or life-altering events can trigger or exacerbate the symptoms of bipolar disorder.,Des circonstances difficiles ou des événements bouleversants peuvent déclencher ou exacerber les symptômes du trouble bipolaire.,0.861,Bipolar disorder / Trouble bipolaire
"These may include bereavement, violence or the breakdown of a relationship.","Il peut s’agir d’un deuil, d’actes de violence ou d’une rupture.",0.8,Bipolar disorder / Trouble bipolaire
The use of alcohol or drugs can also influence the onset and trajectory of bipolar disorder.,La consommation d’alcool ou de drogues peut également influer sur l’apparition et l’évolution du trouble bipolaire.,0.836,Bipolar disorder / Trouble bipolaire
"Although employment can be a source of stress for people living with bipolar disorder, it can also be protective.","Bien que le travail puisse être une source de stress pour les personnes atteintes d’un trouble bipolaire, il peut aussi être un facteur de protection.",0.817,Bipolar disorder / Trouble bipolaire
"Under good working conditions, and when supported at their workplace with reasonable adjustments, employment can promote recovery by improving functioning, reducing symptoms and leading to a higher quality of life and improved self-esteem.","Lorsqu’il s’accompagne de bonnes conditions et d’ajustements raisonnables sur le lieu de travail, un emploi peut favoriser le rétablissement en améliorant l’aptitude à fonctionner, en réduisant les symptômes et en conduisant à une meilleure qualité de vie et à une plus grande estime de soi.",0.896,Bipolar disorder / Trouble bipolaire
"Even though symptoms often recur, recovery is possible.","Même si les symptômes réapparaissent souvent, une guérison est possible.",0.907,Bipolar disorder / Trouble bipolaire
"With appropriate care, people with bipolar disorder can cope with their symptoms and live meaningful and productive lives.","Grâce à des soins appropriés, les personnes atteintes d’un trouble bipolaire peuvent maîtriser leurs symptômes et mener une vie enrichissante et productive.",0.878,Bipolar disorder / Trouble bipolaire
"There are a range of effective treatment options, typically a mix of medicines and psychological and psychosocial interventions.","Il existe diverses options thérapeutiques efficaces, associant généralement médicaments et interventions psychologiques et psychosociales.",0.886,Bipolar disorder / Trouble bipolaire
"Medicines are considered essential for treatment, but themselves are usually insufficient to achieve full recovery.","Les médicaments sont essentiels dans le cadre du traitement, mais ils sont rarement suffisants pour parvenir à une guérison totale.",0.838,Bipolar disorder / Trouble bipolaire
"People with bipolar disorder should be treated with respect and dignity and should be meaningfully involved in care choices, including through shared decision-making regarding treatment and care, balancing effectiveness, side-effects and individual preferences.","Les personnes atteintes d’un trouble bipolaire doivent être traitées avec respect et dignité et doivent activement participer aux choix en matière de soins de santé, y compris dans le cadre d’une prise de décision commune concernant le traitement et les soins, en trouvant un équilibre entre efficacité, effets secondaires et préférences personnelles.",0.876,Bipolar disorder / Trouble bipolaire
"People with bipolar disorder need treatment and care across acute episodes of mania and depression and when indicated, longer-term treatment to prevent relapse.","Les personnes atteintes d’un trouble bipolaire ont besoin d’un traitement et de soins lors des épisodes maniaques et dépressifs aigus et, le cas échéant, d’un traitement à plus long terme pour prévenir les rechutes.",0.884,Bipolar disorder / Trouble bipolaire
"Mood stabilizers (such as lithium, valproate) and antipsychotics are proven to help manage acute mania.",Il est prouvé que les thymorégulateurs (tels que le lithium et le valproate) et les antipsychotiques aident à supporter les épisodes maniaques aigus.,0.873,Bipolar disorder / Trouble bipolaire
Lithium prescription requires clinical and laboratory monitoring.,La prescription de lithium nécessite un suivi clinique et biologique.,0.85,Bipolar disorder / Trouble bipolaire
"Girls and women who are pregnant, breastfeeding or have childbearing potential should not use valproate.","Les filles et les femmes qui sont enceintes, qui allaitent ou qui sont en âge de procréer ne doivent pas prendre de valproate.",0.902,Bipolar disorder / Trouble bipolaire
Lithium and carbamazepine also need to be avoided during pregnancy and breastfeeding whenever possible.,"Dans la mesure du possible, il faut également éviter le lithium et la carbamazépine pendant la grossesse et l’allaitement.",0.905,Bipolar disorder / Trouble bipolaire
Antidepressants should not be taken during a manic episode and they may be combined with mood stabilizers or antipsychotics during episodes of depression.,"Les antidépresseurs sont à proscrire pendant un épisode maniaque, mais ils peuvent être associés à des thymorégulateurs ou à des antipsychotiques pendant un épisode dépressif.",0.83,Bipolar disorder / Trouble bipolaire
"Some medicines for bipolar disorder can make people feel sleepy, have involuntary muscle spasms or tremors, or experience metabolic changes (e.g. involving weight gain).","Certains médicaments contre le trouble bipolaire peuvent entraîner une somnolence, des spasmes musculaires, des tremblements involontaires ou des changements métaboliques (une prise de poids, par exemple).",0.874,Bipolar disorder / Trouble bipolaire
These side effects can affect adherence to treatment and should be monitored and managed.,Ces effets secondaires peuvent affecter l’observance du traitement et doivent être surveillés et pris en charge.,0.898,Bipolar disorder / Trouble bipolaire
Adults with bipolar disorder who are in complete remission (no symptoms) usually need to continue with mood stabilizers or antipsychotic medicines for at least six months.,Les adultes atteints d’un trouble bipolaire qui sont en rémission complète (aucun symptôme) doivent généralement continuer à prendre des thymorégulateurs ou des antipsychotiques pendant au moins six mois.,0.884,Bipolar disorder / Trouble bipolaire
Those experiencing multiple episodes of mania and depression will usually require longer-term treatment to minimize relapses.,Les personnes ayant connu plusieurs épisodes maniaques et dépressifs auront généralement besoin d’un traitement à plus long terme pour éviter autant que possible les rechutes.,0.872,Bipolar disorder / Trouble bipolaire
"People with bipolar disorder can benefit from lifestyle changes involving regular sleep, physical activity, a healthy diet, reduction of stressors, and mood monitoring.","Il peut s’agir de maintenir un horaire de sommeil régulier, de pratiquer une activité physique, de manger sainement, de réduire les facteurs de stress ou encore d’observer son humeur.",0.712,Bipolar disorder / Trouble bipolaire
"Psychological interventions (e.g. cognitive behavioural therapy, interpersonal therapy, psychoeducation) can effectively reduce depressive symptoms and the possibility of them coming back.","Les interventions psychologiques (par exemple, une thérapie cognitivo-comportementale, une thérapie interpersonnelle, ou la psychoéducation) peuvent permettre d’atténuer efficacement les symptômes dépressifs et le risque de rechute.",0.913,Bipolar disorder / Trouble bipolaire
Family psychoeducation can also help families understand and support their loved one better.,"En outre, la psychoéducation familiale peut aider les familles à mieux comprendre et à mieux soutenir leur proche atteint d’un trouble bipolaire.",0.827,Bipolar disorder / Trouble bipolaire
Support from family and friends is very important.,Le soutien de la famille et des amis est primordial.,0.899,Bipolar disorder / Trouble bipolaire
"Support groups – where people can receive encouragement, learn coping skills, and share experiences – can be helpful to people with bipolar disorder and their families.","Les groupes d’entraide – où l’on peut recevoir des encouragements, apprendre des techniques d’adaptation et partager des expériences – peuvent être utiles aux personnes atteintes d’un trouble bipolaire et à leur famille.",0.921,Bipolar disorder / Trouble bipolaire
"Recovery-oriented psychosocial interventions include supported employment, supported housing, peer support, and social and life skills training.","Parmi les interventions psychosociales axées sur la guérison figurent les aides à l’emploi et au logement, le soutien par les pairs et la formation aux compétences sociales et de la vie courante.",0.877,Bipolar disorder / Trouble bipolaire
"They serve to promote hope and to support the autonomy, personal empowerment and social inclusion of people with bipolar disorder.","Elles ont pour but de nourrir l’espoir et de favoriser l’autonomie, la responsabilisation et l’inclusion sociale des personnes atteintes d’un trouble bipolaire.",0.83,Bipolar disorder / Trouble bipolaire
Medicines and psychological or psychosocial interventions should be tailored to the needs of the person and combined for best outcomes.,"Pour donner les meilleurs résultats, les médicaments et les interventions psychologiques ou psychosociales doivent être adaptés aux besoins de la personne et être combinés.",0.858,Bipolar disorder / Trouble bipolaire
"The Comprehensive mental health action plan 2013-2030 highlights the steps needed to provide appropriate services for people with mental health conditions, including bipolar disorder.","Le Plan d’action global pour la santé mentale 2013-2020 présente les mesures nécessaires afin de mettre en œuvre des services adaptés pour les personnes qui ont des troubles mentaux, y compris celles qui présentent un trouble bipolaire.",0.881,Bipolar disorder / Trouble bipolaire
The WHO Special Initiative for Mental Health aims to further progress towards the plan’s objectives by ensuring 100 million more people can access quality and affordable care for mental health conditions.,"L’ Initiative spéciale de l’OMS pour la santé mentale vise à progresser plus avant dans la réalisation des objectifs du Plan, le but étant de garantir que 100 millions de personnes supplémentaires puissent avoir accès à des soins abordables et de qualité en matière de santé mentale.",0.9,Bipolar disorder / Trouble bipolaire
"WHO's Mental Health Gap Action Programme (mhGAP) , which is being implemented in more than 100 countries, provides evidence-based technical guidance, tools and training packages to build capacities and expand treatment coverage for a set of priority conditions, including bipolar disorder, in non-specialized settings in LMICs.","Le Programme d’action de l’OMS Combler les lacunes en santé mentale, qui est actuellement mis en œuvre dans plus de 100 pays, fournit des orientations techniques, des outils et des modules de formation fondés sur des données probantes afin de renforcer les capacités et d’étendre la couverture thérapeutique pour un ensemble de maladies prioritaires, y compris le trouble bipolaire, dans les milieux non spécialisés des pays à revenu faible ou intermédiaire.",0.849,Bipolar disorder / Trouble bipolaire
